"filename", "language", "C++", "comment", "blank", "total"
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\RuleEngine\HAL_JSON_RULE_Tokenizer.cpp", "C++", 359, 30, 41, 430
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\RuleEngine\HAL_JSON_RULE_Tokenizer.h", "C++", 38, 11, 8, 57
"Total", "-", 397, 41, 49, 487
